,resultId,raceId,driverId,constructorId_x,number_x,grid,position_x,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,qualifyId,constructorId_y,number_y,position_y,q1,q2,q3
0,1,18,1,1,22,1,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.300,1,1.0,1.0,22.0,1.0,1:26.572,1:25.187,1:26.714
1,2,18,2,2,3,5,2,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,1,5.0,2.0,3.0,5.0,1:25.960,1:25.518,1:27.236
2,3,18,3,3,7,7,3,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,1,7.0,3.0,7.0,7.0,1:26.295,1:26.059,1:28.687
3,4,18,4,4,5,11,4,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,1,12.0,4.0,5.0,12.0,1:26.907,1:26.188,\N
4,5,18,5,1,23,3,5,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,1,3.0,1.0,23.0,3.0,1:25.664,1:25.452,1:27.079
5,6,18,6,3,8,13,6,6,6,3.0,57,\N,\N,50,14,1:29.639,212.974,11,14.0,3.0,8.0,14.0,1:26.891,1:26.413,\N
6,7,18,7,5,14,17,7,7,7,2.0,55,\N,\N,22,12,1:29.534,213.224,5,18.0,5.0,14.0,18.0,1:27.446,\N,\N
7,8,18,8,6,1,15,8,8,8,1.0,53,\N,\N,20,4,1:27.903,217.180,5,16.0,6.0,1.0,16.0,1:26.140,\N,\N
8,9,18,9,2,4,2,\N,R,9,0.0,47,\N,\N,15,9,1:28.753,215.100,4,2.0,2.0,4.0,2.0,1:26.103,1:25.315,1:26.869
9,10,18,10,7,12,18,\N,R,10,0.0,43,\N,\N,23,13,1:29.558,213.166,3,9.0,7.0,12.0,9.0,1:26.919,1:26.164,1:29.593
10,11,18,11,8,18,19,\N,R,11,0.0,32,\N,\N,24,15,1:30.892,210.038,7,20.0,8.0,18.0,20.0,1:28.208,\N,\N
11,12,18,12,4,6,20,\N,R,12,0.0,30,\N,\N,20,16,1:31.384,208.907,8,21.0,4.0,6.0,21.0,1:28.330,\N,\N
12,13,18,13,6,2,4,\N,R,13,0.0,29,\N,\N,23,6,1:28.175,216.510,5,4.0,6.0,2.0,4.0,1:25.994,1:25.691,1:27.178
13,14,18,14,9,9,8,\N,R,14,0.0,25,\N,\N,21,11,1:29.502,213.300,4,8.0,9.0,9.0,8.0,1:26.381,1:26.063,1:29.041
14,15,18,15,7,11,6,\N,R,15,0.0,19,\N,\N,18,10,1:29.310,213.758,10,6.0,7.0,11.0,6.0,1:26.427,1:26.101,1:28.527
15,16,18,16,10,20,22,\N,R,16,0.0,8,\N,\N,8,17,1:32.021,207.461,9,19.0,10.0,20.0,19.0,1:27.859,\N,\N
16,17,18,17,9,10,14,\N,R,17,0.0,0,\N,\N,\N,\N,\N,\N,4,15.0,9.0,10.0,15.0,1:26.914,\N,\N
17,18,18,18,11,16,12,\N,R,18,0.0,0,\N,\N,\N,\N,\N,\N,4,13.0,11.0,16.0,13.0,1:26.712,1:26.259,\N
18,19,18,19,8,19,21,\N,R,19,0.0,0,\N,\N,\N,\N,\N,\N,4,22.0,8.0,19.0,22.0,1:29.059,\N,\N
19,20,18,20,5,15,9,\N,R,20,0.0,0,\N,\N,\N,\N,\N,\N,4,10.0,5.0,15.0,10.0,1:26.702,1:25.842,\N
20,21,18,21,10,21,16,\N,R,21,0.0,0,\N,\N,\N,\N,\N,\N,4,17.0,10.0,21.0,17.0,1:27.207,\N,\N
21,22,18,22,11,17,10,\N,D,22,0.0,58,\N,\N,44,8,1:28.736,215.141,2,11.0,11.0,17.0,11.0,1:26.369,1:26.173,\N
22,23,19,8,6,1,2,1,1,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,1,24.0,6.0,1.0,2.0,1:35.645,1:34.188,1:36.230
23,24,19,9,2,4,4,2,2,2,8.0,56,+19.570,5498125,39,6,1:35.921,208.033,1,28.0,2.0,4.0,6.0,1:35.794,1:34.811,1:36.727
24,25,19,5,1,23,8,3,3,3,6.0,56,+38.450,5517005,19,7,1:35.922,208.031,1,25.0,1.0,23.0,3.0,1:35.227,1:34.759,1:36.613
25,26,19,15,7,11,3,4,4,4,5.0,56,+45.832,5524387,53,8,1:36.068,207.715,1,27.0,7.0,11.0,5.0,1:35.205,1:34.960,1:36.711
26,27,19,1,1,22,9,5,5,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,1,26.0,1.0,22.0,4.0,1:35.392,1:34.627,1:36.709
27,28,19,2,2,3,5,6,6,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,1,29.0,2.0,3.0,7.0,1:35.729,1:34.648,1:36.753
28,29,19,17,9,10,6,7,7,7,2.0,56,+1:08.130,5546685,53,12,1:36.696,206.366,1,30.0,9.0,10.0,8.0,1:35.440,1:34.967,1:37.009
29,30,19,4,4,5,7,8,8,8,1.0,56,+1:10.041,5548596,40,10,1:36.288,207.240,1,31.0,4.0,5.0,9.0,1:35.983,1:35.140,1:38.450
30,31,19,14,9,9,12,9,9,9,0.0,56,+1:16.220,5554775,55,9,1:36.206,207.417,1,34.0,9.0,9.0,12.0,1:36.058,1:35.408,\N
31,32,19,18,11,16,11,10,10,10,0.0,56,+1:26.214,5564769,56,4,1:35.715,208.481,1,33.0,11.0,16.0,11.0,1:35.847,1:35.208,\N
32,33,19,12,4,6,13,11,11,11,0.0,56,+1:32.202,5570757,52,15,1:36.956,205.812,1,35.0,4.0,6.0,13.0,1:36.074,1:35.562,\N
33,34,19,21,10,21,17,12,12,12,0.0,55,\N,\N,52,16,1:36.962,205.800,11,39.0,10.0,21.0,17.0,1:36.240,\N,\N
34,35,19,22,11,17,14,13,13,13,0.0,55,\N,\N,55,11,1:36.693,206.372,11,36.0,11.0,17.0,14.0,1:36.198,1:35.622,\N
35,36,19,3,3,7,16,14,14,14,0.0,55,\N,\N,55,13,1:36.782,206.182,11,38.0,3.0,7.0,16.0,1:35.843,1:35.670,\N
36,37,19,19,8,19,21,15,15,15,0.0,55,\N,\N,55,18,1:38.171,203.265,11,44.0,8.0,19.0,22.0,1:37.481,\N,\N
37,38,19,11,8,18,19,16,16,16,0.0,54,\N,\N,53,19,1:38.504,202.578,12,42.0,8.0,18.0,20.0,1:37.087,\N,\N
